,Page,Title,City,Tag,Link,Logo
83,itviec,Help Desk Supervisor,Bà Rịa - Vũng Tàu,Help Desk Supervisor,https://careerbuilder.vn/vi/tim-viec-lam/help-desk-supervisor.35BA6874.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
84,itviec,Chuyên viên Kiểm thử phần mềm - TPHCM,Hồ Chí Minh,Chuyên viên Kiểm thử phần mềm - TPHCM,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-thu-phan-mem-tphcm.35BA68C0.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
85,itviec,ANDROID DEVELOPER (SMARTHOME),Hồ Chí Minh,ANDROID DEVELOPER (SMARTHOME),https://careerbuilder.vn/vi/tim-viec-lam/android-developer-smarthome.35BA678C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
86,itviec,Lập trình viên PHP,Hà Nội,Lập trình viên PHP,https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-php.35BA6857.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
87,itviec,Manual Tester - TPHCM,Hồ Chí Minh,Manual Tester - TPHCM,https://careerbuilder.vn/vi/tim-viec-lam/manual-tester-tphcm.35BA68B7.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
88,itviec,IT - Senior Cloud Security Engineer (CVCC An toàn bảo mật),Hồ Chí Minh,IT - Senior Cloud Security Engineer (CVCC An toàn bảo mật),https://careerbuilder.vn/vi/tim-viec-lam/it-senior-cloud-security-engineer-cvcc-an-toan-bao-mat.35BA6841.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
89,itviec,Nhân viên IT (Helpdesk/Support),Hà Nội,Nhân viên IT (Helpdesk/Support),https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-it-helpdesk-support.35BA68B6.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
90,itviec,IOS Developer (SMARTHOME),Hồ Chí Minh,IOS Developer (SMARTHOME),https://careerbuilder.vn/vi/tim-viec-lam/ios-developer-smarthome.35BA6784.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
91,itviec,Chuyên viên Quản trị CNTT Tập đoàn (AM) - Khối CNTT,Hà Nội,Chuyên viên Quản trị CNTT Tập đoàn (AM) - Khối CNTT,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-cntt-tap-doan-am-khoi-cntt.35BA698B.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
92,itviec,"Executive, Market Intelligence",Hồ Chí Minh,"Executive, Market Intelligence",https://careerbuilder.vn/vi/tim-viec-lam/executive-market-intelligence.35BA6939.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
93,itviec,Engineering Manager,Hồ Chí Minh,Engineering Manager,https://careerbuilder.vn/vi/tim-viec-lam/engineering-manager.35BA6898.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
